Disease Name,OrphaCode,Disease Category
Krabbe disease,487,Rare inborn errors of metabolism
Dentinogenesis imperfecta type 2,166260,Rare odontologic disease
Dentinogenesis imperfecta type 3,166265,Rare odontologic disease
Mucopolysaccharidosis type 6,583,Rare inborn errors of metabolism
Odontochondrodysplasia,166272,Rare bone disease
Mucolipidosis type II,576,Rare inborn errors of metabolism
Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,166277,Rare bone disease
Sialidosis type 1,812,Rare inborn errors of metabolism
Familial sick sinus syndrome,166282,Rare cardiac disease
Mucolipidosis type IV,578,Rare inborn errors of metabolism
Porokeratotic eccrine ostial and dermal duct nevus,166286,Rare skin disease
Mucolipidosis type III,577,Rare inborn errors of metabolism
Dirofilariasis,166291,Rare infectious disease
Benign infantile focal epilepsy with midline spikes and waves during sleep,166308,Rare neurologic disease
Benign infantile seizures associated with mild gastroenteritis,166305,Rare neurologic disease
Poliomyelitis,2912,Rare infectious disease
Sandhoff disease,796,Rare inborn errors of metabolism
Photosensitive epilepsy,166409,Rare neurologic disease
Scleroderma,801,Rare skin disease
Benign partial infantile seizures,166311,Rare neurologic disease
Recessive X-linked ichthyosis,461,Rare skin disease
Orgasm-induced seizures,166421,Rare neurologic disease
Eating reflex epilepsy,166418,Rare neurologic disease
Audiogenic seizures,166415,Rare neurologic disease
Mucopolysaccharidosis type 7,584,Rare inborn errors of metabolism
Hot water reflex epilepsy,166412,Rare neurologic disease
Reading seizures,166433,Rare neurologic disease
Micturation-induced seizures,166430,Rare neurologic disease
Turner syndrome,881,Rare developmental defect during embryogenesis
Startle epilepsy,166427,Rare neurologic disease
Thinking seizures,166424,Rare neurologic disease
Friedreich ataxia,95,Rare neurologic disease
Neurocutaneous syndrome with epilepsy,166466,Rare neurologic disease
Beta-thalassemia,848,Rare hematologic disease
Chromosomal anomaly with epilepsy as a major feature,166469,Rare neurologic disease
Alpha-thalassemia,846,Rare hematologic disease
Cystic fibrosis,586,Rare respiratory disease
Epilepsy syndrome,166463,Rare neurologic disease
Cerebral malformation with epilepsy,166478,Rare neurologic disease
Duchenne and Becker muscular dystrophy,262,Rare neurologic disease
Metabolic diseases with epilepsy,166481,Rare neurologic disease
Monogenic disease with epilepsy,166472,Rare neurologic disease
Idiopathic or cryptogenic familial epilepsy syndrome with identified loci/genes,166475,Rare neurologic disease
Emery-Dreifuss muscular dystrophy,261,Rare neurologic disease
Infectious disease with epilepsy,166490,Rare neurologic disease
Inflammatory and autoimmune disease with epilepsy,166484,Rare neurologic disease
Cerebral diseases of vascular origin with epilepsy,166487,Rare neurologic disease
MELAS,550,Rare neurologic disease
Facioscapulohumeral dystrophy,269,Rare neurologic disease
Kearns-Sayre syndrome,480,Rare inborn errors of metabolism
Myofibrillar myopathy,593,Rare neurologic disease
MERRF,551,Rare neurologic disease
Central core disease,597,Rare neurologic disease
Nemaline myopathy,607,Rare neurologic disease
Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,163746,Rare neurologic disease
Paramyotonia congenita of Von Eulenburg,684,Rare neurologic disease
Acrodermatitis continua of Hallopeau,163931,Rare skin disease
Steinert myotonic dystrophy,273,Rare neurologic disease
Pustulosis palmaris et plantaris,163927,Rare skin disease
"X-linked intellectual disability, Najm type",163937,Rare developmental defect during embryogenesis
Atopic keratoconjunctivitis,163934,Rare ophthalmic disorder
Thomsen and Becker disease,614,Rare neurologic disease
Posttransplant acute limbic encephalitis,163921,Rare neurologic disease
"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",163966,Rare bone disease
"X-linked intellectual disability, Cilliers type",163971,Rare developmental defect during embryogenesis
"X-linked intellectual disability, Van Esch type",163976,Rare developmental defect during embryogenesis
X-linked intellectual disability-craniofacioskeletal syndrome,163979,Rare developmental defect during embryogenesis
"X-linked intellectual disability, Nascimento type",163956,Rare developmental defect during embryogenesis
X-linked cerebral-cerebellar-coloboma syndrome,163961,Rare developmental defect during embryogenesis
Middle and/or inner ear anomaly,164004,Rare developmental defect during embryogenesis
Acute myeloid leukemia and myelodysplastic syndromes related to radiation,164726,Rare neoplastic disease
Fabry disease,324,Rare inborn errors of metabolism
Hyperekplexia-epilepsy syndrome,163985,Rare developmental defect during embryogenesis
Rett syndrome,778,Rare neurologic disease
Rare odontal or periodontal disorder,164001,Rare odontologic disease
Angelman syndrome,72,Rare neurologic disease
Genetic pancreatic disease,165661,Rare gastroenterologic disease
Juvenile myoclonic epilepsy,307,Rare neurologic disease
Genetic gastro-esophageal disease,165658,Rare gastroenterologic disease
Genetic intestinal disease,165655,Rare gastroenterologic disease
Rare genetic gastroenterological disease,165652,Rare gastroenterologic disease
Juvenile absence epilepsy,1941,Rare neurologic disease
Von Hippel-Lindau disease,892,Rare neoplastic disease
Rare acquired aplastic anemia,164823,Rare hematologic disease
Autosomal recessive polycystic kidney disease,731,Rare renal disease
Familial advanced sleep-phase syndrome,164736,Rare neurologic disease
CHARGE syndrome,138,Rare developmental defect during embryogenesis
Marfan syndrome,558,Rare systemic or rheumatologic disease
Familial mesial temporal lobe epilepsy with febrile seizures,165805,Rare neurologic disease
Amyotrophic lateral sclerosis,803,Rare neurologic disease
Rare abdominal surgical disease,165711,N/A
Syndromic urogenital tract malformation,165707,Rare developmental defect during embryogenesis
Ataxia-telangiectasia,100,Rare neurologic disease
Non-syndromic urogenital tract malformation,165704,Rare developmental defect during embryogenesis
Familial adenomatous polyposis,733,Rare gastroenterologic disease
Huntington disease,399,Rare neurologic disease
Wound myiasis,165955,Rare infectious disease
Lafora disease,501,Rare neurologic disease
Cavitary myiasis,165958,Rare infectious disease
Down syndrome,870,Rare developmental defect during embryogenesis
Metachromatic leukodystrophy,512,Rare neurologic disease
22q11.2 deletion syndrome,567,Rare developmental defect during embryogenesis
"Multiple epiphyseal dysplasia, Lowry type",166016,Rare bone disease
Sickle cell anemia,232,Rare hematologic disease
Systemic lupus erythematosus,536,Rare systemic or rheumatologic disease
Multiple epiphyseal dysplasia due to collagen 9 anomaly,166002,Rare bone disease
Oculocerebrorenal syndrome of Lowe,534,Rare developmental defect during embryogenesis
Diazoxide-resistant diffuse hyperinsulinism,165988,Rare endocrine disease
Retinoblastoma,790,Rare neoplastic disease
Exercise-induced hyperinsulinism,165991,Rare inborn errors of metabolism
Multiple endocrine neoplasia type 1,652,Rare neoplastic disease
Diazoxide-sensitive diffuse hyperinsulinism,165985,Rare endocrine disease
Fragile X syndrome,908,Rare developmental defect during embryogenesis
Rheumatic fever,3099,Rare systemic or rheumatologic disease
Prader-Willi syndrome,739,Rare developmental defect during embryogenesis
X-linked agammaglobulinemia,47,Rare immune disease
Mucopolysaccharidosis type 2,580,Rare inborn errors of metabolism
Mucopolysaccharidosis type 1,579,Rare inborn errors of metabolism
Wilson disease,905,Rare hepatic disease
Non-syndromic cerebral malformation due to abnormal neuronal migration,163209,Rare developmental defect during embryogenesis
X-linked retinoschisis,792,Rare ophthalmic disorder
Subacute cutaneous lupus erythematosus,163525,Rare skin disease
Stargardt disease,827,Rare ophthalmic disorder
Rare bacterial infectious disease,163582,Rare infectious disease
Chronic cutaneous lupus erythematosus,163531,Rare skin disease
Wiskott-Aldrich syndrome,906,Rare immune disease
Williams syndrome,904,Rare developmental defect during embryogenesis
Wolf-Hirschhorn syndrome,280,Rare developmental defect during embryogenesis
Isolated congenital nasal pyriform aperture stenosis,162516,Rare developmental defect during embryogenesis
Achondroplasia,15,Rare bone disease
Ataxia with vitamin E deficiency,96,Rare neurologic disease
Isolated congenital auditory ossicle malformation,162526,Rare otorhinolaryngologic disease
Dentatorubral pallidoluysian atrophy,101,Rare neurologic disease
Rubinstein-Taybi syndrome,783,Rare developmental defect during embryogenesis
Spondyloepiphyseal dysplasia-craniosynostosis-cleft palate-cataracts-intellectual disability syndrome,163649,Rare bone disease
Non-acquired isolated growth hormone deficiency,631,Rare endocrine disease
T-B+ severe combined immunodeficiency due to gamma chain deficiency,276,Rare immune disease
Spondyloepiphyseal dysplasia-brachydactyly-speech disorder syndrome,163654,Rare bone disease
Kennedy disease,481,Rare neurologic disease
Ornithine transcarbamylase deficiency,664,Rare inborn errors of metabolism
"Spondyloepiphyseal dysplasia, MacDermot type",163668,Rare bone disease
"Spondyloepiphyseal dysplasia, Reardon type",163662,Rare bone disease
Homocystinuria due to cystathionine beta-synthase deficiency,394,Rare inborn errors of metabolism
"Spondyloepiphyseal dysplasia tarda, Kohn type",163665,Rare bone disease
Leprechaunism,508,Rare endocrine disease
Rare mycosis,163591,Rare infectious disease
Hypophosphatasia,436,Rare bone disease
Hb Bart's hydrops fetalis,163596,Rare hematologic disease
Rare viral disease,163585,Rare infectious disease
Hypochondroplasia,429,Rare bone disease
Rare parasitic disease,163588,Rare infectious disease
Hypophosphatemic rickets,437,Rare bone disease
"Rare disorder related with pregnancy, childbirth and puerperium",163637,Rare gynecologic or obstetric disease
Leber hereditary optic neuropathy,104,Rare ophthalmic disorder
Bile acid synthesis defect with cholestasis and malabsorption,163631,Rare inborn errors of metabolism
Hydrocephalus with stenosis of the aqueduct of Sylvius,2182,Rare developmental defect during embryogenesis
Maffucci syndrome,163634,Rare bone disease
Benign familial mesial temporal lobe epilepsy,163717,Rare neurologic disease
Cryptogenic late-onset epileptic spasms,163708,Rare neurologic disease
Neurofibromatosis type 1,636,Rare neurologic disease
Febrile infection-related epilepsy syndrome,163703,Rare neurologic disease
Norrie disease,649,Rare developmental defect during embryogenesis
Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome,163727,Rare neurologic disease
Rolandic epilepsy-speech dyspraxia syndrome,163721,Rare developmental defect during embryogenesis
Leukoencephalopathy-dystonia-motor neuropathy syndrome,163684,Rare neurologic disease
CNTNAP2-related developmental and epileptic encephalopathy,163681,Rare neurologic disease
Chronic granulomatous disease,379,Rare immune disease
Blue cone monochromatism,16,Rare ophthalmic disorder
Alveolar soft tissue sarcoma,163699,Rare neoplastic disease
NARP syndrome,644,Rare neurologic disease
Full NF2-related schwannomatosis,637,Rare otorhinolaryngologic disease
Action myoclonus-renal failure syndrome,163696,Rare neurologic disease
X-linked hypohidrotic ectodermal dysplasia,181,Rare developmental defect during embryogenesis
2p21 microdeletion syndrome,163693,Rare inborn errors of metabolism
Hypotonia-cystinuria syndrome,163690,Rare inborn errors of metabolism
Fibrodysplasia ossificans progressiva,337,Rare bone disease
Gorlin syndrome,377,Rare developmental defect during embryogenesis
Noonan syndrome,648,Rare developmental defect during embryogenesis
Monosomy 5p syndrome,281,Rare developmental defect during embryogenesis
"46,XY difference of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency",752,Rare developmental defect during embryogenesis
Cystinuria,214,Rare renal disease
Lesch-Nyhan syndrome,510,Rare developmental defect during embryogenesis
Li-Fraumeni syndrome,524,Rare neoplastic disease
Pearson syndrome,699,Rare inborn errors of metabolism
Hereditary neuropathy with liability to pressure palsies,640,Rare neurologic disease
Alpha-1-antitrypsin deficiency,60,Rare respiratory disease
Waardenburg syndrome type 2,895,Rare developmental defect during embryogenesis
Waardenburg syndrome type 3,896,Rare developmental defect during embryogenesis
Townes-Brocks syndrome,857,Rare developmental defect during embryogenesis
Waardenburg syndrome type 1,894,Rare developmental defect during embryogenesis
Hyperkalemic periodic paralysis,682,Rare neurologic disease
Schwartz-Jampel syndrome,800,Rare bone disease
Diastrophic dysplasia,628,Rare bone disease
Malaria,673,Rare infectious disease
Hypokalemic periodic paralysis,681,Rare neurologic disease
Blepharophimosis-ptosis-epicanthus inversus syndrome,126,Rare developmental defect during embryogenesis
BOR syndrome,107,Rare developmental defect during embryogenesis
Hereditary hemorrhagic telangiectasia,774,Rare developmental defect during embryogenesis
Saethre-Chotzen syndrome,794,Rare developmental defect during embryogenesis
Pfeiffer syndrome,710,Rare developmental defect during embryogenesis
Peutz-Jeghers syndrome,2869,Rare gastroenterologic disease
WAGR syndrome,893,Rare developmental defect during embryogenesis
Zellweger syndrome,912,Rare inborn errors of metabolism
Aicardi syndrome,50,Rare developmental defect during embryogenesis
Albers-Schönberg osteopetrosis,53,Rare bone disease
Abetalipoproteinemia,14,Rare endocrine disease
Alagille syndrome,52,Rare developmental defect during embryogenesis
Chédiak-Higashi syndrome,167,Rare immune disease
Cat-eye syndrome,195,Rare developmental defect during embryogenesis
Crouzon syndrome,207,Rare developmental defect during embryogenesis
Crigler-Najjar syndrome,205,Rare hepatic disease
Cap polyposis,160148,Rare gastroenterologic disease
Cowden syndrome,201,Rare developmental defect during embryogenesis
Coffin-Lowry syndrome,192,Rare developmental defect during embryogenesis
X-linked lymphoproliferative disease,2442,Rare immune disease
Mild hemophilia A,169808,Rare hematologic disease
Congenital vitamin K-dependent coagulation factors deficiency,169826,Rare hematologic disease
Severe hemophilia A,169802,Rare hematologic disease
Moderate hemophilia A,169805,Rare hematologic disease
McCune-Albright syndrome,562,Rare bone disease
Menkes disease,565,Rare inborn errors of metabolism
Mitochondrial oxidative phosphorylation disorder due to nuclear DNA anomalies,2443,Rare inborn errors of metabolism
Jeune syndrome,474,Rare bone disease
Familial hemophagocytic lymphohistiocytosis,540,Rare immune disease
"Microphthalmia, Lenz type",568,Rare developmental defect during embryogenesis
Meckel syndrome,564,Rare developmental defect during embryogenesis
Ellis Van Creveld syndrome,289,Rare bone disease
Laminin subunit alpha 2-related congenital muscular dystrophy,258,Rare neurologic disease
Schistosomiasis,1247,Rare infectious disease
Bartter syndrome,112,Rare renal disease
Specific antibody deficiency with normal immunoglobulin concentrations and normal numbers of B cells,169443,Rare immune disease
Chromosome Y microdeletion syndrome,1646,Rare infertility
Primary CD59 deficiency,169464,Rare immune disease
Autosomal dominant cerebellar ataxia,99,Rare neurologic disease
Beckwith-Wiedemann syndrome,116,Rare developmental defect during embryogenesis
Apert syndrome,87,Rare developmental defect during embryogenesis
Familial paroxysmal ataxia,97,Rare neurologic disease
Recurrent Neisseria infections due to factor D deficiency,169467,Rare immune disease
Lamellar ichthyosis,313,Rare skin disease
Mild hemophilia B,169799,Rare hematologic disease
Moderate hemophilia B,169796,Rare hematologic disease
Severe hemophilia B,169793,Rare hematologic disease
Rectal duplication,171220,Rare developmental defect during embryogenesis
Ocular albinism with late-onset sensorineural deafness,1000,Rare ophthalmic disorder
Ermine phenotype,999,Rare developmental defect during embryogenesis
Severe congenital nemaline myopathy,171430,Rare neurologic disease
Intermediate nemaline myopathy,171433,Rare neurologic disease
Typical nemaline myopathy,171436,Rare neurologic disease
Childhood-onset nemaline myopathy,171439,Rare neurologic disease
Oculocutaneous albinism,55,Rare skin disease
Adult-onset nemaline myopathy,171442,Rare neurologic disease
Muscle filaminopathy,171445,Rare neurologic disease
X-linked spastic paraplegia type 34,171607,Rare neurologic disease
Bruck syndrome,2771,Rare bone disease
Autosomal dominant spastic paraplegia type 37,171612,Rare neurologic disease
Autosomal dominant spastic paraplegia type 38,171617,Rare neurologic disease
Mitochondrial DNA-related cardiomyopathy and hearing loss,1349,Rare cardiac disease
Autosomal recessive spastic paraplegia type 32,171622,Rare neurologic disease
Autosomal recessive spastic paraplegia type 35,171629,Rare neurologic disease
Treacher-Collins syndrome,861,Rare developmental defect during embryogenesis
Progressive myoclonic epilepsy type 1,308,Rare neurologic disease
Cleft lip with or without cleft palate,1991,Rare developmental defect during embryogenesis
Cornelia de Lange syndrome,199,Rare developmental defect during embryogenesis
Holoprosencephaly,2162,Rare developmental defect during embryogenesis
Idiopathic achalasia,930,Rare gastroenterologic disease
Albinism-deafness syndrome,998,Rare developmental defect during embryogenesis
22q11.2 duplication syndrome,1727,Rare developmental defect during embryogenesis
Cernunnos-XLF deficiency,169079,Rare immune disease
Distal duplication 18q syndrome,1716,Rare developmental defect during embryogenesis
Trisomy 18p syndrome,1715,Rare developmental defect during embryogenesis
Trisomy 18 syndrome,3380,Rare developmental defect during embryogenesis
CLAPO syndrome,168984,Rare developmental defect during embryogenesis
Distal duplication 15q syndrome,1707,Rare developmental defect during embryogenesis
Malignant melanoma of the mucosa,168999,Rare neoplastic disease
Trisomy 13 syndrome,3378,Rare developmental defect during embryogenesis
Immunoglobulin heavy chain deficiency,169110,Rare immune disease
Immunodeficiency due to CD25 deficiency,169100,Rare immune disease
Good syndrome,169105,Rare immune disease
Combined immunodeficiency due to CRAC channel dysfunction,169090,Rare immune disease
Trisomy 9p syndrome,236,Rare developmental defect during embryogenesis
Severe combined immunodeficiency due to FOXN1 deficiency,169095,Rare immune disease
Combined immunodeficiency due to CD3gamma deficiency,169082,Rare immune disease
Susceptibility to respiratory infections associated with CD8alpha chain mutation,169085,Rare immune disease
Primary peritoneal carcinoma,168829,Rare neoplastic disease
Peritoneal inclusion cyst,168816,Rare neoplastic disease
"46,XY difference of sex development due to 5-alpha-reductase 2 deficiency",753,Rare developmental defect during embryogenesis
Triose phosphate-isomerase deficiency,868,Rare inborn errors of metabolism
Malignant peritoneal mesothelioma,168811,Rare neoplastic disease
Primary malignant peritoneal tumor,168807,Rare neoplastic disease
Primary peritoneal tumor,168803,Rare neoplastic disease
Darier disease,218,Rare skin disease
"Heart-hand syndrome, Slovenian type",168796,Rare developmental defect during embryogenesis
Coffin-Siris syndrome,1465,Rare developmental defect during embryogenesis
Childhood disintegrative disorder,168782,Rare neurologic disease
Distal deletion 9p syndrome,1642,Rare developmental defect during embryogenesis
Composite lymphoma,168966,Rare neoplastic disease
Refractory anemia with excess blasts in transformation,168960,Rare neoplastic disease
"47,XYY syndrome",8,Rare developmental defect during embryogenesis
Distal monosomy 7q36 syndrome,1636,Rare developmental defect during embryogenesis
Hypereosinophilic syndrome,168956,Rare hematologic disease
Myeloid/lymphoid neoplasm associated with FGFR1 rearrangement,168953,Rare neoplastic disease
Monosomy 18q syndrome,1600,Rare developmental defect during embryogenesis
Myeloid/lymphoid neoplasm associated with PDGFRB rearrangement,168950,Rare neoplastic disease
Myeloid/lymphoid neoplasm associated with PDGFRA rearrangement,168947,Rare neoplastic disease
Monosomy 18p syndrome,1598,Rare developmental defect during embryogenesis
"Myeloid/lymphoid neoplasms associated with eosinophilia and abnormality of PDGFRA, PDGFRB, FGFR1 or JAK2",168943,Rare neoplastic disease
Chronic eosinophilic leukemia,168940,Rare neoplastic disease
Osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome,2773,Rare bone disease
Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome,2772,Rare bone disease
Isolated complex I deficiency,2609,Rare inborn errors of metabolism
Immune dysregulation disease with immunodeficiency,169361,Rare immune disease
Large/giant congenital melanocytic nevus,626,Rare skin disease
Refsum disease,773,Rare neurologic disease
Pentasomy X syndrome,11,Rare developmental defect during embryogenesis
T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency,169154,Rare immune disease
Glycogen storage disease due to phosphorylase kinase deficiency,370,Rare inborn errors of metabolism
Immunodeficiency due to a late component of complement deficiency,169150,Rare immune disease
T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta,169160,Rare immune disease
Neurodegeneration with brain iron accumulation,385,Rare neurologic disease
T-B+ severe combined immunodeficiency due to CD45 deficiency,169157,Rare immune disease
Transient hypogammaglobulinemia of infancy,169139,Rare immune disease
"Progressive epilepsy-intellectual disability syndrome, Finnish type",1947,Rare neurologic disease
Immunodeficiency due to a classical component pathway complement deficiency,169147,Rare immune disease
Recurrent infections due to specific granule deficiency,169142,Rare immune disease
Galactosemia,352,Rare inborn errors of metabolism
X-linked centronuclear myopathy,596,Rare neurologic disease
Immuno-osseous dysplasia,169349,Rare bone disease
DNA repair defect other than combined T-cell and B-cell immunodeficiencies,169346,Rare immune disease
Immunodeficiency syndrome with autoimmunity,169355,Rare immune disease
Bethlem muscular dystrophy,610,Rare neurologic disease
Autosomal recessive centronuclear myopathy,169186,Rare neurologic disease
Incontinentia pigmenti,464,Rare developmental defect during embryogenesis
Tetrasomy 18p syndrome,3307,Rare developmental defect during embryogenesis
Familial scaphocephaly syndrome,169163,Rare developmental defect during embryogenesis
Autosomal dominant centronuclear myopathy,169189,Rare neurologic disease
Neonatal adrenoleukodystrophy,44,Rare inborn errors of metabolism
Alkaptonuria,56,Rare inborn errors of metabolism
Acromegaly,963,Rare endocrine disease
Blue rubber bleb nevus,1059,Rare developmental defect during embryogenesis
Alopecia antibody deficiency,1006,Rare skin disease
Lethal hemolytic anemia-genital anomalies syndrome,1046,Rare developmental defect during embryogenesis
Succinic semialdehyde dehydrogenase deficiency,22,Rare inborn errors of metabolism
Mevalonic aciduria,29,Rare inborn errors of metabolism
Nager syndrome,245,Rare developmental defect during embryogenesis
Hereditary orotic aciduria,30,Rare inborn errors of metabolism
Acrocallosal syndrome,36,Rare developmental defect during embryogenesis
Aarskog-Scott syndrome,915,Rare developmental defect during embryogenesis
Nail-patella syndrome,2614,Rare developmental defect during embryogenesis
Isovaleric acidemia,33,Rare inborn errors of metabolism
Rare cardiac tumor,168194,Rare neoplastic disease
Smith-Magenis syndrome,819,Rare developmental defect during embryogenesis
Retinitis pigmentosa-intellectual disability-deafness-hypogonadism syndrome,3085,Rare developmental defect during embryogenesis
Tetrasomy X syndrome,9,Rare developmental defect during embryogenesis
Hereditary persistence of alpha-fetoprotein,168615,Rare genetic disease
Congenital deficiency in alpha-fetoprotein,168612,Rare genetic disease
Ring chromosome 18 syndrome,1442,Rare developmental defect during embryogenesis
"Dysplasia of head of femur, Meyer type",168621,Rare bone disease
Cleidocranial dysplasia,1452,Rare bone disease
Autosomal thrombocytopenia with normal platelets,168629,Rare hematologic disease
"Familial scaphocephaly syndrome, McGillivray type",168624,Rare developmental defect during embryogenesis
Cohen syndrome,193,Rare developmental defect during embryogenesis
Rare pervasive developmental disorder,168778,Rare neurologic disease
Cooper-Jabs syndrome,1488,Rare developmental defect during embryogenesis
Isolated corpus callosum agenesis,200,Rare developmental defect during embryogenesis
Generalized basaloid follicular hamartoma syndrome,168632,Rare skin disease
Chronic mucocutaneous candidiasis,1334,Rare immune disease
Hereditary North American Indian childhood cirrhosis,168583,Rare hepatic disease
Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome,1369,Rare inborn errors of metabolism
Hereditary cryohydrocytosis with reduced stomatin,168577,Rare hematologic disease
Sudden infant death-dysgenesis of the testes syndrome,168593,Rare developmental defect during embryogenesis
Charlie M syndrome,1406,Rare developmental defect during embryogenesis
Hyperandrogenism due to cortisone reductase deficiency,168588,Rare endocrine disease
Congenital enteropathy due to enteropeptidase deficiency,168601,Rare gastroenterologic disease
Cholestasis-lymphedema syndrome,1414,Rare developmental defect during embryogenesis
Methionine adenosyltransferase I/III deficiency,168598,Rare neurologic disease
Seborrhea-like dermatitis with psoriasiform elements,168606,Rare skin disease
Axial spondylometaphyseal dysplasia,168549,Rare bone disease
Spondylometaphyseal dysplasia-bowed forearms-facial dysmorphism syndrome,168552,Rare bone disease
Arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome,1154,Rare developmental defect during embryogenesis
"Spondylometaphyseal dysplasia, A4 type",168555,Rare bone disease
"46,XY difference of sex development-adrenal insufficiency due to CYP11A1 deficiency",168558,Rare developmental defect during embryogenesis
"46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome",168563,Rare developmental defect during embryogenesis
Diamond-Blackfan anemia,124,Rare hematologic disease
Fatal mitochondrial disease due to combined oxidative phosphorylation defect type 3,168566,Rare inborn errors of metabolism
Caffey disease,1310,Rare bone disease
H syndrome,168569,Rare skin disease
Native American myopathy,168572,Rare neurologic disease
Bloom syndrome,125,Rare developmental defect during embryogenesis
Argininemia,90,Rare inborn errors of metabolism
Spondyloepimetaphyseal dysplasia-hypotrichosis syndrome,168443,Rare bone disease
Aniridia-cerebellar ataxia-intellectual disability syndrome,1065,Rare developmental defect during embryogenesis
Spondyloepimetaphyseal dysplasia-abnormal dentition syndrome,168451,Rare bone disease
"Spondyloepimetaphyseal dysplasia, Geneviève type",168454,Rare bone disease
Distal arthrogryposis type 1,1146,Rare developmental defect during embryogenesis
Neurogenic arthrogryposis multiplex congenita,1143,Rare developmental defect during embryogenesis
"Spondylometaphyseal dysplasia, Golden type",168544,Rare bone disease
Sheldon-Hall syndrome,1147,Rare developmental defect during embryogenesis
Postaxial acrofacial dysostosis,246,Rare developmental defect during embryogenesis
XY type gonadal dysgenesis-associated anomalies syndrome,1770,Rare developmental defect during embryogenesis
Dyskeratosis congenita,1775,Rare immune disease
Familial dysautonomia,1764,Rare neurologic disease
Dubowitz syndrome,235,Rare developmental defect during embryogenesis
Dyggve-Melchior-Clausen disease,239,Rare bone disease
Rare disease with dentinogenesis imperfecta,167762,Rare odontologic disease
Diencephalic syndrome,1672,Rare endocrine disease
Hereditary dentin defect,167759,Rare odontologic disease
Encephalopathy due to sulfite oxidase deficiency,833,Rare inborn errors of metabolism
Unclassified acute myeloid leukemia,167714,Rare neoplastic disease
Scleromyxedema,167635,Rare skin disease
Pyruvate dehydrogenase deficiency,765,Rare inborn errors of metabolism
Homocystinuria due to methylene tetrahydrofolate reductase deficiency,395,Rare inborn errors of metabolism
Isolated glycerol kinase deficiency,408,Rare inborn errors of metabolism
Multiple carboxylase deficiency,148,Rare inborn errors of metabolism
Carbamoyl-phosphate synthetase 1 deficiency,147,Rare inborn errors of metabolism
Argininosuccinic aciduria,23,Rare inborn errors of metabolism
Adenosine monophosphate deaminase deficiency,45,Rare inborn errors of metabolism
